POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
39,Laxmi Ratan ShuklaKKR,13,12,4,163,42,20.37,122,133.60,0,0,17,5,2008
40,Andrew SymondsDEC,4,3,1,161,117*,80.50,105,153.33,1,0,15,9,2008
41,Wriddhiman SahaKKR,12,10,5,159,59*,31.80,119,133.61,0,1,12,7,2008
42,VVS LaxmanDEC,6,6,1,155,52,31.00,132,117.42,0,1,22,1,2008
43,Luke PomersbachPBKS,5,5,4,152,79*,152.00,99,153.53,0,1,13,9,2008
44,Ross TaylorRCB,4,4,0,149,53,37.25,81,183.95,0,1,13,10,2008
45,Shaun PollockMI,13,8,0,147,33,18.37,111,132.43,0,0,12,8,2008
46,Vidyut SivaramakrishnanCSK,9,8,0,145,54,18.12,109,133.02,0,1,21,3,2008
47,Dinesh KarthikDC,13,8,2,145,56*,24.16,107,135.51,0,1,13,4,2008
48,Ravindra JadejaRR,14,9,2,135,36*,19.28,103,131.06,0,0,11,6,2008
49,Irfan PathanPBKS,14,10,4,131,40,21.83,116,112.93,0,0,9,6,2008
50,Kamran AkmalRR,6,6,1,128,53*,25.60,78,164.10,0,1,13,8,2008
51,MF MaharoofDC,10,8,2,125,39,20.83,79,158.22,0,0,10,7,2008
52,Misbah-ul-HaqRCB,8,8,1,117,47*,16.71,81,144.44,0,0,10,6,2008
53,Wasim JafferRCB,6,6,0,115,50,19.16,104,110.57,0,1,12,3,2008
54,Cameron WhiteRCB,8,8,1,114,31*,16.28,102,111.76,0,0,8,4,2008
55,Scott StyrisDEC,8,8,2,112,36*,18.66,123,91.05,0,0,9,2,2008
56,Praveen KumarRCB,13,12,2,112,34,11.20,98,114.28,0,0,10,6,2008
57,Dwaraka Ravi TejaDEC,7,6,0,109,40,18.16,82,132.92,0,0,10,5,2008
58,Tillakaratne DilshanDC,7,7,1,104,33,17.33,79,131.64,0,0,14,3,2008
59,Manoj TiwaryDC,9,7,3,104,39,26.00,85,122.35,0,0,16,0,2008
60,Niraj PatelRR,5,4,2,103,57,51.50,81,127.16,0,1,13,1,2008
61,Debabrata DasKKR,6,6,0,103,31,17.16,94,109.57,0,0,9,5,2008
62,Simon KatichPBKS,2,2,1,96,75,96.00,69,139.13,0,1,11,2,2008
63,AB de VilliersDC,6,6,1,95,26*,19.00,98,96.93,0,0,5,1,2008
64,Piyush ChawlaPBKS,15,7,3,90,24*,22.50,59,152.54,0,0,10,3,2008
65,Shreevats GoswamiRCB,4,3,0,82,52,27.33,85,96.47,0,1,9,1,2008
66,Shahid AfridiDEC,10,9,1,81,33,10.12,46,176.08,0,0,7,6,2008
67,Karan GoelPBKS,7,6,0,76,26,12.66,78,97.43,0,0,7,4,2008
68,Ramnaresh SarwanPBKS,4,4,0,73,31,18.25,75,97.33,0,0,6,1,2008
69,Shane WarneRR,15,7,2,70,22*,14.00,59,118.64,0,0,7,2,2008
70,Ajit AgarkarKKR,9,6,1,54,20,10.80,46,117.39,0,0,5,2,2008
71,Shoaib MalikDC,7,5,1,52,24,13.00,47,110.63,0,0,5,0,2008
72,Arjun YadavDEC,8,6,1,49,16,9.80,39,125.64,0,0,5,2,2008
73,Sanjay BangarDEC,11,7,1,47,17*,7.83,49,95.91,0,0,1,3,2008
74,Balachandra AkhilRCB,7,7,4,46,27*,15.33,31,148.38,0,0,4,3,2008
75,Dwayne SmithMI,4,3,0,45,20,15.00,40,112.50,0,0,5,1,2008
76,Aakash ChopraKKR,5,5,0,42,24,8.40,52,80.76,0,0,5,0,2008
77,LPC SilvaDEC,3,3,1,40,23*,20.00,26,153.84,0,0,5,1,2008
78,Ricky PontingKKR,4,4,0,39,20,9.75,53,73.58,0,0,2,1,2008
79,Dominic ThornelyMI,6,4,2,39,30,19.50,53,73.58,0,0,2,2,2008
80,Umar GulKKR,6,4,1,39,24,13.00,19,205.26,0,0,1,5,2008
81,Amit MishraDC,6,3,0,37,31,12.33,42,88.09,0,0,3,0,2008
82,Sohail TanvirRR,11,5,2,36,13,12.00,29,124.13,0,0,3,1,2008
83,Manpreet GonyCSK,16,5,4,35,15*,35.00,23,152.17,0,0,2,3,2008
84,Luke RonchiMI,4,4,0,34,13,8.50,32,106.25,0,0,6,1,2008
85,Pinal ShahMI,5,4,0,34,19,8.50,35,97.14,0,0,4,0,2008
86,Rajat BhatiaDC,9,3,1,34,17,17.00,28,121.42,0,0,2,2,2008
87,Mahesh RawatRR,11,7,3,34,23*,8.50,39,87.17,0,0,3,1,2008
88,Zaheer KhanRCB,11,8,4,34,17*,8.50,43,79.06,0,0,4,0,2008
89,Dinesh SalunkheRR,6,3,1,33,26*,16.50,24,137.50,0,0,5,0,2008
90,Tatenda TaibuKKR,3,3,0,31,15,10.33,26,119.23,0,0,3,0,2008
91,Harbhajan SinghMI,3,3,1,30,28,15.00,17,176.47,0,0,1,3,2008
92,Murali KartikKKR,6,3,0,30,17,10.00,27,111.11,0,0,3,0,2008
93,Ramesh PowarPBKS,5,1,1,28,28*,0.00,21,133.33,0,0,4,1,2008
94,RP SinghDEC,14,9,5,27,10,6.75,24,112.50,0,0,2,1,2008
95,Saurabh TiwaryMI,3,2,0,26,17,13.00,20,130.00,0,0,3,1,2008
96,Wilkin MotaPBKS,4,2,1,26,25,26.00,27,96.29,0,0,2,0,2008
97,Shivnarine ChanderpaulRCB,3,3,0,25,16,8.33,31,80.64,0,0,4,0,2008
98,Vinay KumarRCB,8,4,1,25,23,8.33,22,113.63,0,0,2,1,2008
99,Musavir KhoteMI,4,3,1,24,9,12.00,22,109.09,0,0,2,1,2008
100,Jagadeesh ArunkumarRCB,3,3,0,23,22,7.66,23,100.00,0,0,5,0,2008
101,Chaminda VaasDEC,5,4,1,21,12*,7.00,18,116.66,0,0,0,1,2008
102,Bharat ChipliRCB,3,3,0,20,10,6.66,28,71.42,0,0,3,0,2008
103,Mohammad HafeezKKR,8,3,1,20,13,10.00,22,90.90,0,0,2,1,2008
104,Darren LehmannRR,2,2,0,18,17,9.00,18,100.00,0,0,3,0,2008
105,Siddharth ChitnisMI,3,2,0,18,15,9.00,10,180.00,0,0,1,1,2008
106,Jacob OramCSK,4,3,2,18,13,18.00,12,150.00,0,0,1,1,2008
107,Brett LeePBKS,4,3,2,17,16*,17.00,13,130.76,0,0,2,1,2008
108,Chamara KapugederaCSK,5,3,0,16,8,5.33,23,69.56,0,0,0,0,2008
109,Joginder SharmaCSK,8,3,1,16,16,8.00,11,145.45,0,0,1,1,2008
110,Yo MaheshDC,11,5,3,15,6*,7.50,27,55.55,0,0,0,0,2008
111,Devraj PatilRCB,2,2,0,13,9,6.50,13,100.00,0,0,1,0,2008
112,Anil KumbleRCB,10,5,3,13,8,6.50,17,76.47,0,0,1,0,2008
113,Brad HodgeKKR,3,3,0,12,10,4.00,17,70.58,0,0,2,0,2008
114,Nuwan ZoysaDEC,3,2,1,11,10*,11.00,9,122.22,0,0,1,0,2008
115,Makhaya NtiniCSK,9,2,1,11,11,11.00,18,61.11,0,0,2,0,2008
116,Ishant SharmaKKR,13,6,5,11,4*,11.00,11,100.00,0,0,1,0,2008
117,Taruwar KohliRR,2,2,0,10,7,5.00,15,66.66,0,0,0,1,2008
118,Ashley NoffkeRCB,1,1,0,9,9,9.00,10,90.00,0,0,1,0,2008
119,Dimitri MascarenhasRR,1,1,0,9,9,9.00,8,112.50,0,0,0,1,2008
120,Tanmay SrivastavaPBKS,5,2,1,8,7,8.00,10,80.00,0,0,0,0,2008
121,Rohan RajeMI,6,3,3,8,6*,0.00,9,88.88,0,0,1,0,2008
122,Sunil JoshiRCB,4,2,0,6,3,3.00,14,42.85,0,0,0,0,2008
123,Pankaj SinghRR,5,2,2,5,4*,0.00,8,62.50,0,0,0,0,2008
124,Siddharth TrivediRR,15,3,2,5,3*,5.00,12,41.66,0,0,0,0,2008
125,Ajinkya RahaneMI,2,2,0,4,4,2.00,17,23.52,0,0,1,0,2008
126,Sunny SohalPBKS,2,2,0,4,4,2.00,8,50.00,0,0,0,0,2008
127,Vikram SinghPBKS,13,2,0,4,4,2.00,3,133.33,0,0,1,0,2008
128,Glenn McGrathDC,14,3,2,4,4*,4.00,5,80.00,0,0,1,0,2008
129,Younis KhanRR,1,1,0,3,3,3.00,7,42.85,0,0,0,0,2008
130,Doddapaneni KalyankrishnaDEC,3,1,0,3,3,3.00,8,37.50,0,0,0,0,2008
131,Manish PandeyMI,3,2,0,3,3,1.50,9,33.33,0,0,0,0,2008
132,Mohammad AsifDC,8,2,0,3,3,1.50,6,50.00,0,0,0,0,2008
133,Ashish NehraMI,14,4,3,3,2*,3.00,13,23.07,0,0,0,0,2008
134,Halhadar DasDEC,1,1,0,2,2,2.00,5,40.00,0,0,0,0,2008
135,Vikrant YeligatiMI,2,1,0,2,2,2.00,2,100.00,0,0,0,0,2008
136,Shoaib AkhtarKKR,3,1,0,2,2,2.00,7,28.57,0,0,0,0,2008
137,Dilhara FernandoMI,5,1,1,2,2*,0.00,1,200.00,0,0,0,0,2008
138,Pradeep SangwanDC,7,2,0,2,2,1.00,5,40.00,0,0,0,0,2008
139,Dale SteynRCB,10,2,1,2,1*,2.00,5,40.00,0,0,0,0,2008
140,Dhawal KulkarniMI,10,1,1,2,2*,0.00,16,12.50,0,0,0,0,2008
141,Ashok DindaKKR,13,3,2,2,1*,2.00,4,50.00,0,0,0,0,2008
142,Pragyan OjhaDEC,13,4,2,2,1*,1.00,4,50.00,0,0,0,0,2008
143,Iqbal AbdullaKKR,1,1,1,1,1*,0.00,2,50.00,0,0,0,0,2008
144,Srikkanth AnirudhaCSK,1,1,0,1,1,1.00,7,14.28,0,0,0,0,2008
145,PM Sarvesh KumarDEC,2,1,1,1,1*,0.00,2,50.00,0,0,0,0,2008
146,Paidikalva VijaykumarDEC,9,2,2,1,1*,0.00,1,100.00,0,0,0,0,2008
147,Abdur RazzakRCB,1,1,1,0,0*,0.00,2,0.00,0,0,0,0,2008
148,Abhinav MukundCSK,2,1,0,0,0*,0.00,1,0.00,0,0,0,0,2008
149,Lakshmipathy BalajiCSK,9,1,0,0,0*,0.00,4,0.00,0,0,0,0,2008
150,Munaf PatelRR,15,2,2,0,0*,0.00,1,0.00,0,0,0,0,2008
